year,number,month,state
2011,7,Maio,Espírito Santo
2012,25,Maio,Espírito Santo
2013,13,Maio,Espírito Santo
2014,15,Maio,Espírito Santo
2015,11,Maio,Espírito Santo
2016,42,Maio,Espírito Santo
2017,9,Maio,Espírito Santo
2018,4,Maio,Espírito Santo
2019,10,Maio,Espírito Santo
2020,11,Maio,Espírito Santo
2021,0,Maio,Espírito Santo
1998,6,Junho,Espírito Santo
1999,6,Junho,Espírito Santo
2000,9,Junho,Espírito Santo
2001,9,Junho,Espírito Santo
2002,18,Junho,Espírito Santo
2003,76,Junho,Espírito Santo
2004,2,Junho,Espírito Santo
2005,9,Junho,Espírito Santo
2006,35,Junho,Espírito Santo
2007,34,Junho,Espírito Santo
2008,25,Junho,Espírito Santo
2009,16,Junho,Espírito Santo
2010,25,Junho,Espírito Santo
2011,15,Junho,Espírito Santo
2012,21,Junho,Espírito Santo
2013,24,Junho,Espírito Santo
2014,8,Junho,Espírito Santo
2015,16,Junho,Espírito Santo
2016,45,Junho,Espírito Santo
2017,23,Junho,Espírito Santo
2018,12,Junho,Espírito Santo
2019,19,Junho,Espírito Santo
2020,51,Junho,Espírito Santo
2021,0,Junho,Espírito Santo
1998,37,Julho,Espírito Santo
1999,9,Julho,Espírito Santo
2000,16,Julho,Espírito Santo
2001,12,Julho,Espírito Santo
2002,16,Julho,Espírito Santo
2003,91,Julho,Espírito Santo
2004,14,Julho,Espírito Santo
2005,15,Julho,Espírito Santo
2006,57,Julho,Espírito Santo
2007,70,Julho,Espírito Santo
2008,36,Julho,Espírito Santo
2009,28,Julho,Espírito Santo
2010,6,Julho,Espírito Santo
2011,27,Julho,Espírito Santo
2012,45,Julho,Espírito Santo
2013,29,Julho,Espírito Santo
2014,11,Julho,Espírito Santo
2015,25,Julho,Espírito Santo
2016,38,Julho,Espírito Santo
2017,3,Julho,Espírito Santo
2018,41,Julho,Espírito Santo
2019,78,Julho,Espírito Santo
2020,34,Julho,Espírito Santo
2021,0,Julho,Espírito Santo
1998,38,Agosto,Espírito Santo
1999,60,Agosto,Espírito Santo
2000,26,Agosto,Espírito Santo
2001,31,Agosto,Espírito Santo
2002,76,Agosto,Espírito Santo
2003,142,Agosto,Espírito Santo
2004,31,Agosto,Espírito Santo
2005,30,Agosto,Espírito Santo
2006,90,Agosto,Espírito Santo
2007,96,Agosto,Espírito Santo
2008,57,Agosto,Espírito Santo
2009,21,Agosto,Espírito Santo
2010,39,Agosto,Espírito Santo
2011,83,Agosto,Espírito Santo
2012,17,Agosto,Espírito Santo
2013,58,Agosto,Espírito Santo
2014,36,Agosto,Espírito Santo
2015,28,Agosto,Espírito Santo
2016,75,Agosto,Espírito Santo
2017,26,Agosto,Espírito Santo
2018,9,Agosto,Espírito Santo
2019,35,Agosto,Espírito Santo
2020,25,Agosto,Espírito Santo
2021,0,Agosto,Espírito Santo
1998,110,Setembro,Espírito Santo
1999,64,Setembro,Espírito Santo
2000,14,Setembro,Espírito Santo
2001,38,Setembro,Espírito Santo
2002,76,Setembro,Espírito Santo
2003,276,Setembro,Espírito Santo
2004,77,Setembro,Espírito Santo
2005,10,Setembro,Espírito Santo
2006,103,Setembro,Espírito Santo
2007,92,Setembro,Espírito Santo
2008,95,Setembro,Espírito Santo
2009,62,Setembro,Espírito Santo
2010,65,Setembro,Espírito Santo
2011,115,Setembro,Espírito Santo
2012,39,Setembro,Espírito Santo
2013,28,Setembro,Espírito Santo
2014,52,Setembro,Espírito Santo
2015,198,Setembro,Espírito Santo
2016,112,Setembro,Espírito Santo
2017,31,Setembro,Espírito Santo
2018,51,Setembro,Espírito Santo
2019,171,Setembro,Espírito Santo
2020,131,Setembro,Espírito Santo
2021,0,Setembro,Espírito Santo
1998,20,Outubro,Espírito Santo
1999,23,Outubro,Espírito Santo
2000,88,Outubro,Espírito Santo
2001,19,Outubro,Espírito Santo
2002,151,Outubro,Espírito Santo
2003,185,Outubro,Espírito Santo
2004,53,Outubro,Espírito Santo
2005,84,Outubro,Espírito Santo
2006,18,Outubro,Espírito Santo
2007,172,Outubro,Espírito Santo
2008,116,Outubro,Espírito Santo
2009,14,Outubro,Espírito Santo
2010,34,Outubro,Espírito Santo
2011,35,Outubro,Espírito Santo
2012,66,Outubro,Espírito Santo
2013,32,Outubro,Espírito Santo
2014,82,Outubro,Espírito Santo
2015,290,Outubro,Espírito Santo
2016,60,Outubro,Espírito Santo
2017,46,Outubro,Espírito Santo
2018,36,Outubro,Espírito Santo
2019,73,Outubro,Espírito Santo
2020,82,Outubro,Espírito Santo
2021,0,Outubro,Espírito Santo
1998,4,Novembro,Espírito Santo
1999,9,Novembro,Espírito Santo
2000,3,Novembro,Espírito Santo
2001,3,Novembro,Espírito Santo
2002,26,Novembro,Espírito Santo
2003,55,Novembro,Espírito Santo
2004,56,Novembro,Espírito Santo
2005,3,Novembro,Espírito Santo
2006,4,Novembro,Espírito Santo
2007,185,Novembro,Espírito Santo
2008,9,Novembro,Espírito Santo
2009,23,Novembro,Espírito Santo
2010,3,Novembro,Espírito Santo
2011,8,Novembro,Espírito Santo
2012,7,Novembro,Espírito Santo
2013,11,Novembro,Espírito Santo
2014,17,Novembro,Espírito Santo
2015,131,Novembro,Espírito Santo
2016,7,Novembro,Espírito Santo
2017,12,Novembro,Espírito Santo
2018,11,Novembro,Espírito Santo
2019,123,Novembro,Espírito Santo
2020,10,Novembro,Espírito Santo
2021,0,Novembro,Espírito Santo
1998,5,Dezembro,Espírito Santo
1999,0,Dezembro,Espírito Santo
2000,3,Dezembro,Espírito Santo
2001,1,Dezembro,Espírito Santo
2002,22,Dezembro,Espírito Santo
2003,32,Dezembro,Espírito Santo
2004,10,Dezembro,Espírito Santo
2005,13,Dezembro,Espírito Santo
2006,10,Dezembro,Espírito Santo
2007,45,Dezembro,Espírito Santo
2008,9,Dezembro,Espírito Santo
2009,31,Dezembro,Espírito Santo
2010,12,Dezembro,Espírito Santo
2011,6,Dezembro,Espírito Santo
2012,23,Dezembro,Espírito Santo
2013,8,Dezembro,Espírito Santo
2014,25,Dezembro,Espírito Santo
2015,57,Dezembro,Espírito Santo
2016,12,Dezembro,Espírito Santo
2017,0,Dezembro,Espírito Santo
2018,18,Dezembro,Espírito Santo
2019,13,Dezembro,Espírito Santo
2020,22,Dezembro,Espírito Santo
2021,0,Dezembro,Espírito Santo
1998,0,Janeiro,Goiás
1999,14,Janeiro,Goiás
2000,10,Janeiro,Goiás
2001,28,Janeiro,Goiás
2002,12,Janeiro,Goiás
2003,13,Janeiro,Goiás
2004,15,Janeiro,Goiás
2005,30,Janeiro,Goiás
2006,104,Janeiro,Goiás
2007,48,Janeiro,Goiás
2008,33,Janeiro,Goiás
2009,47,Janeiro,Goiás
2010,60,Janeiro,Goiás
2011,40,Janeiro,Goiás
2012,22,Janeiro,Goiás
2013,43,Janeiro,Goiás
2014,60,Janeiro,Goiás
2015,105,Janeiro,Goiás
2016,27,Janeiro,Goiás
2017,46,Janeiro,Goiás
2018,54,Janeiro,Goiás
2019,129,Janeiro,Goiás
2020,60,Janeiro,Goiás
2021,63,Janeiro,Goiás
1998,0,Fevereiro,Goiás
1999,334,Fevereiro,Goiás
2000,11,Fevereiro,Goiás
2001,9,Fevereiro,Goiás
2002,9,Fevereiro,Goiás
2003,55,Fevereiro,Goiás
2004,14,Fevereiro,Goiás
2005,110,Fevereiro,Goiás
2006,28,Fevereiro,Goiás
2007,20,Fevereiro,Goiás
2008,25,Fevereiro,Goiás
2009,45,Fevereiro,Goiás
2010,100,Fevereiro,Goiás
2011,56,Fevereiro,Goiás
2012,29,Fevereiro,Goiás
2013,67,Fevereiro,Goiás
2014,34,Fevereiro,Goiás
2015,43,Fevereiro,Goiás
2016,69,Fevereiro,Goiás
2017,64,Fevereiro,Goiás
2018,41,Fevereiro,Goiás
2019,88,Fevereiro,Goiás
2020,92,Fevereiro,Goiás
2021,87,Fevereiro,Goiás
1998,0,Março,Goiás
1999,1,Março,Goiás
2000,4,Março,Goiás
2001,10,Março,Goiás
2002,48,Março,Goiás
2003,34,Março,Goiás
2004,59,Março,Goiás
2005,46,Março,Goiás
2006,42,Março,Goiás
2007,104,Março,Goiás
2008,23,Março,Goiás
2009,60,Março,Goiás
2010,96,Março,Goiás
2011,26,Março,Goiás
2012,71,Março,Goiás
2013,74,Março,Goiás
2014,54,Março,Goiás
2015,48,Março,Goiás
2016,107,Março,Goiás
2017,91,Março,Goiás
2018,113,Março,Goiás
2019,138,Março,Goiás
2020,124,Março,Goiás
2021,0,Março,Goiás
1998,0,Abril,Goiás
1999,25,Abril,Goiás
2000,16,Abril,Goiás
2001,49,Abril,Goiás
2002,78,Abril,Goiás
2003,127,Abril,Goiás
2004,84,Abril,Goiás
2005,150,Abril,Goiás
2006,61,Abril,Goiás
2007,83,Abril,Goiás
2008,64,Abril,Goiás
2009,37,Abril,Goiás
2010,144,Abril,Goiás
2011,111,Abril,Goiás
2012,116,Abril,Goiás
2013,61,Abril,Goiás
2014,117,Abril,Goiás
2015,58,Abril,Goiás
2016,152,Abril,Goiás
2017,58,Abril,Goiás
2018,74,Abril,Goiás
2019,83,Abril,Goiás
2020,156,Abril,Goiás
2021,0,Abril,Goiás
1998,0,Maio,Goiás
1999,98,Maio,Goiás
2000,58,Maio,Goiás
2001,85,Maio,Goiás
2002,171,Maio,Goiás
2003,265,Maio,Goiás
2004,313,Maio,Goiás
2005,269,Maio,Goiás
2006,192,Maio,Goiás
2007,349,Maio,Goiás
2008,200,Maio,Goiás
2009,136,Maio,Goiás
2010,280,Maio,Goiás
2011,161,Maio,Goiás
2012,123,Maio,Goiás
2013,187,Maio,Goiás
2014,197,Maio,Goiás
2015,117,Maio,Goiás
2016,210,Maio,Goiás
2017,138,Maio,Goiás
2018,181,Maio,Goiás
2019,134,Maio,Goiás
2020,150,Maio,Goiás
2021,0,Maio,Goiás
1998,172,Junho,Goiás
1999,252,Junho,Goiás
2000,222,Junho,Goiás
2001,209,Junho,Goiás
2002,303,Junho,Goiás
2003,855,Junho,Goiás
2004,515,Junho,Goiás
2005,248,Junho,Goiás
2006,298,Junho,Goiás
2007,690,Junho,Goiás
2008,209,Junho,Goiás
2009,201,Junho,Goiás
2010,723,Junho,Goiás
2011,333,Junho,Goiás
2012,254,Junho,Goiás
2013,202,Junho,Goiás
2014,302,Junho,Goiás
2015,263,Junho,Goiás
2016,261,Junho,Goiás
2017,308,Junho,Goiás
2018,183,Junho,Goiás
2019,217,Junho,Goiás
2020,314,Junho,Goiás
2021,0,Junho,Goiás
1998,512,Julho,Goiás
1999,311,Julho,Goiás
2000,332,Julho,Goiás
2001,370,Julho,Goiás
2002,792,Julho,Goiás
2003,867,Julho,Goiás
2004,852,Julho,Goiás
2005,536,Julho,Goiás
2006,502,Julho,Goiás
2007,925,Julho,Goiás
2008,552,Julho,Goiás
2009,481,Julho,Goiás
2010,1224,Julho,Goiás
2011,600,Julho,Goiás
2012,556,Julho,Goiás
2013,356,Julho,Goiás
2014,424,Julho,Goiás
2015,320,Julho,Goiás
2016,815,Julho,Goiás
2017,433,Julho,Goiás
2018,405,Julho,Goiás
2019,403,Julho,Goiás
2020,402,Julho,Goiás
2021,0,Julho,Goiás
1998,2216,Agosto,Goiás
1999,1198,Agosto,Goiás
2000,925,Agosto,Goiás
2001,788,Agosto,Goiás
2002,1498,Agosto,Goiás
2003,975,Agosto,Goiás
2004,1618,Agosto,Goiás
2005,970,Agosto,Goiás
2006,948,Agosto,Goiás
2007,2948,Agosto,Goiás
2008,987,Agosto,Goiás
2009,638,Agosto,Goiás
2010,3336,Agosto,Goiás
2011,1549,Agosto,Goiás
2012,899,Agosto,Goiás
2013,527,Agosto,Goiás
2014,1201,Agosto,Goiás
2015,876,Agosto,Goiás
2016,1038,Agosto,Goiás
2017,1109,Agosto,Goiás
2018,518,Agosto,Goiás
2019,698,Agosto,Goiás
2020,964,Agosto,Goiás
2021,0,Agosto,Goiás
1998,2870,Setembro,Goiás
1999,1898,Setembro,Goiás
2000,1294,Setembro,Goiás
2001,1861,Setembro,Goiás
2002,4412,Setembro,Goiás
2003,1978,Setembro,Goiás
2004,3544,Setembro,Goiás
2005,1565,Setembro,Goiás
2006,1630,Setembro,Goiás
2007,4978,Setembro,Goiás
2008,1464,Setembro,Goiás
2009,709,Setembro,Goiás
2010,5906,Setembro,Goiás
2011,2250,Setembro,Goiás
2012,2334,Setembro,Goiás
2013,735,Setembro,Goiás
2014,1568,Setembro,Goiás
2015,2033,Setembro,Goiás
2016,1571,Setembro,Goiás
2017,2155,Setembro,Goiás
2018,1070,Setembro,Goiás
2019,4149,Setembro,Goiás
2020,1825,Setembro,Goiás
2021,0,Setembro,Goiás
1998,1036,Outubro,Goiás
1999,743,Outubro,Goiás
2000,906,Outubro,Goiás
2001,477,Outubro,Goiás
2002,1665,Outubro,Goiás
2003,1318,Outubro,Goiás
2004,1548,Outubro,Goiás
2005,2018,Outubro,Goiás
2006,270,Outubro,Goiás
2007,2169,Outubro,Goiás
2008,1425,Outubro,Goiás
2009,413,Outubro,Goiás
2010,1418,Outubro,Goiás
2011,539,Outubro,Goiás
2012,1450,Outubro,Goiás
2013,567,Outubro,Goiás
2014,1728,Outubro,Goiás
2015,1607,Outubro,Goiás
2016,488,Outubro,Goiás
2017,1858,Outubro,Goiás
2018,345,Outubro,Goiás
2019,873,Outubro,Goiás
2020,1622,Outubro,Goiás
2021,0,Outubro,Goiás
1998,48,Novembro,Goiás
1999,111,Novembro,Goiás
2000,26,Novembro,Goiás
2001,15,Novembro,Goiás
2002,273,Novembro,Goiás
2003,212,Novembro,Goiás
2004,356,Novembro,Goiás
2005,169,Novembro,Goiás
2006,254,Novembro,Goiás
2007,240,Novembro,Goiás
2008,195,Novembro,Goiás
2009,111,Novembro,Goiás
2010,79,Novembro,Goiás
2011,76,Novembro,Goiás
2012,64,Novembro,Goiás
2013,162,Novembro,Goiás
2014,160,Novembro,Goiás
2015,490,Novembro,Goiás
2016,115,Novembro,Goiás
2017,125,Novembro,Goiás
2018,36,Novembro,Goiás
2019,160,Novembro,Goiás
2020,229,Novembro,Goiás
2021,0,Novembro,Goiás
1998,13,Dezembro,Goiás
1999,20,Dezembro,Goiás
2000,6,Dezembro,Goiás
2001,18,Dezembro,Goiás
2002,118,Dezembro,Goiás
2003,175,Dezembro,Goiás
2004,94,Dezembro,Goiás
2005,17,Dezembro,Goiás
2006,58,Dezembro,Goiás
2007,85,Dezembro,Goiás
2008,63,Dezembro,Goiás
2009,42,Dezembro,Goiás
2010,53,Dezembro,Goiás
2011,25,Dezembro,Goiás
2012,113,Dezembro,Goiás
2013,69,Dezembro,Goiás
2014,52,Dezembro,Goiás
2015,147,Dezembro,Goiás
2016,59,Dezembro,Goiás
2017,43,Dezembro,Goiás
2018,90,Dezembro,Goiás
2019,88,Dezembro,Goiás
2020,70,Dezembro,Goiás
2021,0,Dezembro,Goiás
1998,0,Janeiro,Maranhão
1999,54,Janeiro,Maranhão
2000,19,Janeiro,Maranhão
2001,29,Janeiro,Maranhão
2002,49,Janeiro,Maranhão
2003,575,Janeiro,Maranhão
2004,338,Janeiro,Maranhão
2005,674,Janeiro,Maranhão
2006,386,Janeiro,Maranhão
2007,634,Janeiro,Maranhão
2008,203,Janeiro,Maranhão
2009,400,Janeiro,Maranhão
2010,457,Janeiro,Maranhão
2011,195,Janeiro,Maranhão
2012,461,Janeiro,Maranhão
2013,316,Janeiro,Maranhão
2014,291,Janeiro,Maranhão
2015,458,Janeiro,Maranhão
2016,395,Janeiro,Maranhão
2017,178,Janeiro,Maranhão
2018,281,Janeiro,Maranhão
2019,712,Janeiro,Maranhão
2020,86,Janeiro,Maranhão
2021,228,Janeiro,Maranhão
1998,0,Fevereiro,Maranhão
1999,6,Fevereiro,Maranhão
2000,11,Fevereiro,Maranhão
2001,1,Fevereiro,Maranhão
2002,116,Fevereiro,Maranhão
2003,13,Fevereiro,Maranhão
2004,24,Fevereiro,Maranhão
2005,73,Fevereiro,Maranhão
2006,36,Fevereiro,Maranhão
2007,21,Fevereiro,Maranhão
2008,59,Fevereiro,Maranhão
2009,30,Fevereiro,Maranhão
2010,104,Fevereiro,Maranhão
2011,14,Fevereiro,Maranhão
2012,84,Fevereiro,Maranhão
2013,72,Fevereiro,Maranhão
2014,17,Fevereiro,Maranhão
2015,78,Fevereiro,Maranhão
2016,268,Fevereiro,Maranhão
2017,44,Fevereiro,Maranhão
2018,15,Fevereiro,Maranhão
2019,74,Fevereiro,Maranhão
2020,72,Fevereiro,Maranhão
2021,128,Fevereiro,Maranhão
1998,0,Março,Maranhão
1999,17,Março,Maranhão
2000,6,Março,Maranhão
2001,0,Março,Maranhão
2002,16,Março,Maranhão
2003,24,Março,Maranhão
2004,43,Março,Maranhão
2005,19,Março,Maranhão
2006,19,Março,Maranhão
2007,89,Março,Maranhão
2008,6,Março,Maranhão
2009,39,Março,Maranhão
2010,129,Março,Maranhão
2011,43,Março,Maranhão
2012,54,Março,Maranhão
2013,45,Março,Maranhão
2014,40,Março,Maranhão
2015,41,Março,Maranhão
2016,70,Março,Maranhão
2017,32,Março,Maranhão
2018,93,Março,Maranhão
2019,57,Março,Maranhão
2020,39,Março,Maranhão
2021,0,Março,Maranhão
1998,0,Abril,Maranhão
1999,4,Abril,Maranhão
2000,6,Abril,Maranhão
2001,2,Abril,Maranhão
2002,28,Abril,Maranhão
2003,112,Abril,Maranhão
2004,98,Abril,Maranhão
2005,99,Abril,Maranhão
2006,20,Abril,Maranhão
2007,76,Abril,Maranhão
2008,40,Abril,Maranhão
2009,27,Abril,Maranhão
2010,143,Abril,Maranhão
2011,46,Abril,Maranhão
2012,114,Abril,Maranhão
2013,83,Abril,Maranhão
2014,66,Abril,Maranhão
2015,103,Abril,Maranhão
2016,103,Abril,Maranhão
2017,90,Abril,Maranhão
2018,50,Abril,Maranhão
2019,63,Abril,Maranhão
2020,93,Abril,Maranhão
2021,0,Abril,Maranhão
1998,0,Maio,Maranhão
1999,3,Maio,Maranhão
2000,28,Maio,Maranhão
2001,21,Maio,Maranhão
2002,71,Maio,Maranhão
2003,236,Maio,Maranhão
2004,324,Maio,Maranhão
2005,108,Maio,Maranhão
2006,89,Maio,Maranhão
2007,294,Maio,Maranhão
2008,101,Maio,Maranhão
2009,25,Maio,Maranhão
2010,300,Maio,Maranhão
2011,98,Maio,Maranhão
2012,370,Maio,Maranhão
2013,132,Maio,Maranhão
2014,140,Maio,Maranhão
2015,184,Maio,Maranhão
2016,186,Maio,Maranhão
2017,157,Maio,Maranhão
2018,203,Maio,Maranhão
2019,139,Maio,Maranhão
2020,231,Maio,Maranhão
2021,0,Maio,Maranhão
1998,78,Junho,Maranhão
1999,32,Junho,Maranhão
2000,94,Junho,Maranhão
2001,101,Junho,Maranhão
2002,227,Junho,Maranhão
2003,865,Junho,Maranhão
2004,818,Junho,Maranhão
2005,662,Junho,Maranhão
2006,520,Junho,Maranhão
2007,1477,Junho,Maranhão
2008,687,Junho,Maranhão
2009,312,Junho,Maranhão
2010,1225,Junho,Maranhão
2011,689,Junho,Maranhão
2012,987,Junho,Maranhão
2013,603,Junho,Maranhão
2014,786,Junho,Maranhão
2015,850,Junho,Maranhão
2016,693,Junho,Maranhão
2017,644,Junho,Maranhão
2018,738,Junho,Maranhão
2019,749,Junho,Maranhão
2020,757,Junho,Maranhão
2021,0,Junho,Maranhão
1998,276,Julho,Maranhão
1999,258,Julho,Maranhão
2000,233,Julho,Maranhão
2001,549,Julho,Maranhão
2002,1675,Julho,Maranhão
2003,2675,Julho,Maranhão
2004,1677,Julho,Maranhão
2005,1984,Julho,Maranhão
2006,1416,Julho,Maranhão
2007,2786,Julho,Maranhão
2008,1542,Julho,Maranhão
2009,1182,Julho,Maranhão
2010,2601,Julho,Maranhão
2011,1159,Julho,Maranhão
2012,3693,Julho,Maranhão
2013,1332,Julho,Maranhão
2014,2027,Julho,Maranhão
2015,1616,Julho,Maranhão
2016,2182,Julho,Maranhão
2017,1973,Julho,Maranhão
2018,1457,Julho,Maranhão
2019,1078,Julho,Maranhão
2020,1871,Julho,Maranhão
2021,0,Julho,Maranhão
1998,1177,Agosto,Maranhão
1999,897,Agosto,Maranhão
2000,839,Agosto,Maranhão
2001,2035,Agosto,Maranhão
2002,3789,Agosto,Maranhão
2003,2407,Agosto,Maranhão
2004,2426,Agosto,Maranhão
2005,3118,Agosto,Maranhão
2006,2416,Agosto,Maranhão
2007,10780,Agosto,Maranhão
2008,1777,Agosto,Maranhão
2009,2181,Agosto,Maranhão
2010,6826,Agosto,Maranhão
2011,2192,Agosto,Maranhão
2012,10519,Agosto,Maranhão
2013,2374,Agosto,Maranhão
2014,5338,Agosto,Maranhão
2015,5411,Agosto,Maranhão
2016,3849,Agosto,Maranhão
2017,3001,Agosto,Maranhão
2018,2833,Agosto,Maranhão
2019,3366,Agosto,Maranhão
2020,2162,Agosto,Maranhão
2021,0,Agosto,Maranhão
1998,3933,Setembro,Maranhão
1999,1739,Setembro,Maranhão
2000,1364,Setembro,Maranhão
2001,4550,Setembro,Maranhão
2002,5543,Setembro,Maranhão
2003,7799,Setembro,Maranhão
2004,6807,Setembro,Maranhão
2005,7805,Setembro,Maranhão
2006,3782,Setembro,Maranhão
2007,11245,Setembro,Maranhão
2008,3575,Setembro,Maranhão
2009,3107,Setembro,Maranhão
2010,11813,Setembro,Maranhão
2011,5086,Setembro,Maranhão
2012,7376,Setembro,Maranhão
2013,4312,Setembro,Maranhão
2014,4357,Setembro,Maranhão
2015,5502,Setembro,Maranhão
2016,3109,Setembro,Maranhão
2017,9243,Setembro,Maranhão
2018,3177,Setembro,Maranhão
2019,3667,Setembro,Maranhão
2020,4403,Setembro,Maranhão
2021,0,Setembro,Maranhão
1998,5140,Outubro,Maranhão
1999,3207,Outubro,Maranhão
2000,2654,Outubro,Maranhão
2001,6597,Outubro,Maranhão
2002,7152,Outubro,Maranhão
2003,8588,Outubro,Maranhão
2004,5386,Outubro,Maranhão
2005,8704,Outubro,Maranhão
2006,4270,Outubro,Maranhão
2007,9694,Outubro,Maranhão
2008,5018,Outubro,Maranhão
2009,2839,Outubro,Maranhão
2010,4095,Outubro,Maranhão
2011,3171,Outubro,Maranhão
2012,5911,Outubro,Maranhão
2013,3221,Outubro,Maranhão
2014,5574,Outubro,Maranhão
2015,6387,Outubro,Maranhão
2016,5617,Outubro,Maranhão
2017,4538,Outubro,Maranhão
2018,1832,Outubro,Maranhão
2019,3645,Outubro,Maranhão
2020,3394,Outubro,Maranhão
2021,0,Outubro,Maranhão
1998,2235,Novembro,Maranhão
1999,1494,Novembro,Maranhão
2000,2267,Novembro,Maranhão
2001,3521,Novembro,Maranhão
2002,8421,Novembro,Maranhão
2003,7536,Novembro,Maranhão
2004,10348,Novembro,Maranhão
2005,6670,Novembro,Maranhão
2006,6879,Novembro,Maranhão
2007,5191,Novembro,Maranhão
2008,5728,Novembro,Maranhão
2009,6505,Novembro,Maranhão
2010,6082,Novembro,Maranhão
2011,4038,Novembro,Maranhão
2012,2644,Novembro,Maranhão
2013,2368,Novembro,Maranhão
2014,3710,Novembro,Maranhão
2015,4159,Novembro,Maranhão
2016,3826,Novembro,Maranhão
2017,2706,Novembro,Maranhão
2018,2309,Novembro,Maranhão
2019,3158,Novembro,Maranhão
2020,2481,Novembro,Maranhão
2021,0,Novembro,Maranhão
1998,1396,Dezembro,Maranhão
1999,1001,Dezembro,Maranhão
2000,1462,Dezembro,Maranhão
2001,1290,Dezembro,Maranhão
2002,3377,Dezembro,Maranhão
2003,3718,Dezembro,Maranhão
2004,5296,Dezembro,Maranhão
2005,3775,Dezembro,Maranhão
2006,3469,Dezembro,Maranhão
2007,2478,Dezembro,Maranhão
2008,3386,Dezembro,Maranhão
2009,2485,Dezembro,Maranhão
2010,2502,Dezembro,Maranhão
2011,2584,Dezembro,Maranhão
2012,2086,Dezembro,Maranhão
2013,2597,Dezembro,Maranhão
2014,2329,Dezembro,Maranhão
2015,3647,Dezembro,Maranhão
2016,1491,Dezembro,Maranhão
2017,2970,Dezembro,Maranhão
2018,904,Dezembro,Maranhão
2019,1813,Dezembro,Maranhão
2020,1228,Dezembro,Maranhão
2021,0,Dezembro,Maranhão
1998,0,Janeiro,Mato Grosso
1999,39,Janeiro,Mato Grosso
2000,44,Janeiro,Mato Grosso
2001,44,Janeiro,Mato Grosso
2002,172,Janeiro,Mato Grosso
2003,883,Janeiro,Mato Grosso
2004,261,Janeiro,Mato Grosso
2005,440,Janeiro,Mato Grosso
2006,1000,Janeiro,Mato Grosso
2007,470,Janeiro,Mato Grosso
2008,232,Janeiro,Mato Grosso
2009,615,Janeiro,Mato Grosso
2010,327,Janeiro,Mato Grosso
2011,206,Janeiro,Mato Grosso
2012,179,Janeiro,Mato Grosso
2013,276,Janeiro,Mato Grosso
2014,244,Janeiro,Mato Grosso
2015,720,Janeiro,Mato Grosso
2016,300,Janeiro,Mato Grosso
2017,457,Janeiro,Mato Grosso
2018,317,Janeiro,Mato Grosso
2019,576,Janeiro,Mato Grosso
2020,768,Janeiro,Mato Grosso
2021,479,Janeiro,Mato Grosso
1998,0,Fevereiro,Mato Grosso
1999,28,Fevereiro,Mato Grosso
2000,35,Fevereiro,Mato Grosso
2001,54,Fevereiro,Mato Grosso
2002,22,Fevereiro,Mato Grosso
2003,566,Fevereiro,Mato Grosso
2004,397,Fevereiro,Mato Grosso
2005,951,Fevereiro,Mato Grosso
2006,414,Fevereiro,Mato Grosso
2007,280,Fevereiro,Mato Grosso
2008,208,Fevereiro,Mato Grosso
2009,203,Fevereiro,Mato Grosso
2010,440,Fevereiro,Mato Grosso
2011,147,Fevereiro,Mato Grosso
2012,200,Fevereiro,Mato Grosso
2013,374,Fevereiro,Mato Grosso
2014,134,Fevereiro,Mato Grosso
2015,396,Fevereiro,Mato Grosso
2016,763,Fevereiro,Mato Grosso
2017,295,Fevereiro,Mato Grosso
2018,266,Fevereiro,Mato Grosso
2019,709,Fevereiro,Mato Grosso
2020,806,Fevereiro,Mato Grosso
2021,563,Fevereiro,Mato Grosso
1998,0,Março,Mato Grosso
1999,18,Março,Mato Grosso
2000,60,Março,Mato Grosso
2001,24,Março,Mato Grosso
2002,103,Março,Mato Grosso
2003,541,Março,Mato Grosso
2004,822,Março,Mato Grosso
2005,423,Março,Mato Grosso
2006,474,Março,Mato Grosso
2007,679,Março,Mato Grosso
2008,227,Março,Mato Grosso
2009,379,Março,Mato Grosso
2010,663,Março,Mato Grosso
2011,301,Março,Mato Grosso
2012,419,Março,Mato Grosso
2013,636,Março,Mato Grosso
2014,481,Março,Mato Grosso
2015,517,Março,Mato Grosso
2016,934,Março,Mato Grosso
2017,698,Março,Mato Grosso
2018,766,Março,Mato Grosso
2019,1188,Março,Mato Grosso
2020,1270,Março,Mato Grosso
2021,0,Março,Mato Grosso
1998,0,Abril,Mato Grosso
1999,76,Abril,Mato Grosso
2000,59,Abril,Mato Grosso
2001,309,Abril,Mato Grosso
2002,641,Abril,Mato Grosso
2003,930,Abril,Mato Grosso
2004,946,Abril,Mato Grosso
2005,1010,Abril,Mato Grosso
2006,428,Abril,Mato Grosso
2007,809,Abril,Mato Grosso
2008,358,Abril,Mato Grosso
2009,255,Abril,Mato Grosso
2010,893,Abril,Mato Grosso
2011,467,Abril,Mato Grosso
2012,560,Abril,Mato Grosso
2013,411,Abril,Mato Grosso
2014,658,Abril,Mato Grosso
2015,638,Abril,Mato Grosso
2016,1351,Abril,Mato Grosso
2017,708,Abril,Mato Grosso
2018,426,Abril,Mato Grosso
2019,708,Abril,Mato Grosso
2020,992,Abril,Mato Grosso
2021,0,Abril,Mato Grosso
1998,0,Maio,Mato Grosso
1999,730,Maio,Mato Grosso
2000,1192,Maio,Mato Grosso
